Deal_ID,ProviderDeal_ID,FullTitle,ShortTitle,FullDescription,ShortDescription,Outlets,Indiv Outlets,Postalcodes,DealSite_URL,DealImage_URL,HighlightImage_URL, StartDate,EndDate,Merchant_ID,ProviderMerchant_ID,Merchant Name,MerchantImageURL,MerchantWebsite_URL,Card Type,TermsAndConditions,Card Images,isFeatured,HomeFeatured,isOnlineMerchant,Category,SubCategory,Keywords,Bookmark,Validity,Related Deals ID
207_3767,3767,My VoyageGuard Travel Insurance<sup>SM</sup> Up to 35% savings,My VoyageGuard Travel Insurance<sup>SM</sup>," My VoyageGuard Travel InsuranceSM has a range of plan options and coverage designed for you and your loved ones. 
 Single Trip Offers2 
 • 25% savings on Essential plans  • 30% savings on Standard plans  • 35% savings on Superior plans 
 Annual Multi-Trip Offers 
 • 20% savings and Samsonite Armet Spinner 57cm Expandable Luggage1 on Superior plans  • S$120 shopping voucher1.2 on Standard plans  • S$50 shopping voucher1.1 on Essential plans 
 In addition, travel with peace of mind on these special travel insurance plans and enjoy 4 extra KrisFlyer miles* on your base earn rate when you purchase any Annual Multi-Trip Plans on My VoyageGuard Travel InsuranceSM. "," My VoyageGuard Travel InsuranceSM has a range of plan options and coverage designed for you and your loved ones. 
 Single Trip Offers2 
 • 25% savings on Essential plans  • 30% savings on Standard plans  • 35% savings on Superior plans 
 Annual Multi-Trip Offers 
 • 20% savings and Samsonite Armet Spinner 57cm Expandable Luggage1 on Superior plans  • S$120 shopping voucher1.2 on Standard plans  • S$50 shopping voucher1.1 on Essential plans 
 In addition, travel with peace of mind on these special travel insurance plans and enjoy 4 extra KrisFlyer miles* on your base earn rate when you purchase any Annual Multi-Trip Plans on My VoyageGuard Travel InsuranceSM. ",NA,Not available,"",http://www.promotions.americanexpress.com.sg/travel-offers/my-voyagguard-travel-insurance-may-15/,http://www.promotions.americanexpress.com.sg/media/68678/travel-insurance-may15.jpg,,0001-01-01,2015-05-25 T16:59:00,AMEX_1,207_AMEX_1,My VoyagGuard Travel Insurance May 15,http://www.promotions.americanexpress.com.sg/media/68562/ace-logo2_rsz.jpg,,Not Provided," The above promotions are only valid for new online purchases of My VoyageGuard Travel InsuranceSM from now to 25 May 2015. For purchase of any Annual Multi-Trip plans, savings are applicable for first year premiums only. 
 *Earn 4 extra KrisFlyer miles on your base earn rate with every purchase of an Annual Multi-Trip plan. Please refer to americanexpress.com/sg/singapore-airlines-credit-cards for full Terms and Conditions on your base KrisFlyer miles earn rate when you charge your purchases to your Card. For more details on the extra miles offer and other offers, please visit http://amex.co/SIAoffers. 
 1Superior Annual Multi-Trip Promotion:  • 20% savings on policy premium and complimentary Samsonite Armet Spinner 57cm Expandable Luggage are only applicable to all new online purchase of any Superior Annual Multi-Trip plans. You will receive the gift within 2 months from the date of enrolment.  • The Annual Multi-Trip insurance travel policy must not be cancelled to be eligible for the Samsonite Armet Spinner 57cm Expandable Luggage.  • If the original gift is unavailable for any reason, American Express reserves the right to substitute the gift with an item of similar value at its discretion. American Express International Inc. Singapore reserves the right to withdraw or substitute the gift with other item(s) without prior notice and without assigning any reason.  • The featured model cannot be replaced or substituted by other luggage models. 
 1.1Essential Annual Multi-Trip Promotion:  • S$50 complimentary Robinsons shopping voucher is applicable for all new online purchase of any Essential Annual Multi-Trip plans.  • American Express reserves the right to change the complimentary shopping vouchers advertised without prior notice. Terms and Conditions specific to the shopping vouchers will apply accordingly and vouchers will be sent to the stated mailing address upon enrolment within 2 months from the date of enrolment.  • The Annual Multi-Trip insurance travel policy must not be cancelled to be eligible for the complimentary shopping vouchers. 
 1.2Standard Annual Multi-Trip Promotion:  • S$120 complimentary Robinsons shopping voucher is applicable for all new online purchase of any Standard Annual Multi-Trip plans.  • American Express reserves the right to change the complimentary shopping vouchers advertised without prior notice. Terms and Conditions specific to the shopping vouchers will apply accordingly and vouchers will be sent to the stated mailing address upon enrolment within 2 months from the date of enrolment.  • The Annual Multi-Trip insurance travel policy must not be cancelled to be eligible for the complimentary shopping vouchers. 
 2Single Trip Promotion:  • 25% savings is applicable on purchase of any Essential Single Trip plans.  • 30% savings is applicable on purchase of any Standard Single Trip plans.  • 35% savings is applicable on purchase of any Superior Single Trip plans. 
 Information is correct at the time of production. 
 Policy Owners' Protection Scheme 
 This Policy is protected under the Policy Owners' Protection Scheme which is administered by the Singapore Deposit Insurance Corporation (SDIC). Coverage for your policy is automatic and no further action is required from you. For more information on the types of benefits that are covered under the scheme as well as the limits of coverage, where applicable, please contact us or visit the GIA / LIA or SDIC websites (www.gia.org.sg or www.lia.org.sg or www.sdic.org.sg). My VoyageGuard Travel InsuranceSM is distributed by American Express Int'l Inc. and underwritten by ACE Insurance Limited Co. Reg. No., 199702449H. This is only product information provided by us and is not a contract of insurance. Accordingly, the information should be read and construed in light of, and subject to, all terms, conditions and exclusions contained in the Policy. Please consider your objectives, financial situation or needs to decide if the product is appropriate for you. The above disclaimer applies to this entire marketing email. American Express International Inc. identifies insurance and products that may be of interest to some of its customers. In this role, we do not act as an agent or fiduciary for you, and we may act on behalf of the insurance provider, as permitted by law. We want you to be aware that we receive commissions from providers and commissions may vary by provider and product. Also, in some cases, an American Express entity may be the reinsurer and may earn reinsurance income. The arrangement we have with certain providers, including the potential to reinsure the products, may also influence what products we identify. We do not require you to purchase any insurance product, and you may choose to cover your insurance needs from other sources on terms they may make available to you. For more details, information and premium plans, or immediate activation, please log on to americanexpress.com.sg/insurance. ",None,None,None,None,Travel,None,None,None,Offer Period: now to 25 May 2015,3102
207_2826,2826,Enjoy 10% savings and more at Hertz,Enjoy 10% savings and more," Enjoy 10% savings on standard rates at participating locations around the world when you pay with your American ExpressCard and enter the Hertz Gold Plus Rewards Membership number at time of reservation 
 The Hertz Gold Plus Rewards loyalty programme includes: 
 • 10% savings off standard rates 
 • One car class upgrade (applicable to standard vehicles only and valid for rentals of five consecutive days or more, subject to availability) 
 • Fee-waived additional driver 
 Click here to enrol for your complimentary Hertz Gold Plus Rewardsmembership and to find out more about the benefits you•re entitled to. 
 "," Enjoy 10% savings on standard rates at participating locations around the world when you pay with your American ExpressCard and enter the Hertz Gold Plus Rewards Membership number at time of reservation 
 The Hertz Gold Plus Rewards loyalty programme includes: 
 • 10% savings off standard rates 
 • One car class upgrade (applicable to standard vehicles only and valid for rentals of five consecutive days or more, subject to availability) 
 • Fee-waived additional driver 
 Click here to enrol for your complimentary Hertz Gold Plus Rewardsmembership and to find out more about the benefits you•re entitled to. 
 ",NA,Not available,"",http://www.promotions.americanexpress.com.sg/travel-offers/hertz/,http://www.promotions.americanexpress.com.sg/media/68136/rsz_hertz_nwb_-_mercedesc-14aug2014.jpg,,0001-01-01,2017-12-31 T17:00:00,AMEX_2,207_AMEX_2,Hertz,http://www.promotions.americanexpress.com.sg/media/68137/rsz_hertz_logo_.jpg,,Not Provided," *Terms and conditions and rental location exclusions apply. 
 1. 10% savings available on the best prepaid and non prepaid retail rates and it applies to time, mileage and all mandatory insurance and waivers included in the base rate. 
 2. One- car- class upgrade is available on standard vehicles only and space available upgrade applicable on rentals of five consecutive days or more is applicable in all destinations excluding Japan and it is subject to availability. 
 3. For rentals within Japan, 5% savings and one car class upgrade only. 
 4. Standard Blackout dates apply - visit the website for full terms and conditions www.hertz.com/AmexBenefits. 
 5. The following countries and/or Hertz locations are excluded from the list of Destination Participating Countries: India, Pakistan, Sri Lanka and Taiwan rental locations are excluded from all benefits of this offer. 
 6. Gold Plus Rewards enrolment is required to enjoy all benefits. 
 7. Hertz standard terms and conditions of rental apply. 
 8. American Express reserves the right to instruct Hertz to cancel your membership if you cease to be an American Express Card Member or your Account is not in good standing. 
 Visit the website for full terms and conditions www.hertz.com/AmexBenefits. 
 ",None,None,None,None,Travel,None,None,None,Offer Period: Now till 31 December 2017,2779
207_3705,3705,Enjoy 5% savings on air fare at EVA Air,Enjoy 5% savings on air fare," Enjoy 5% savings off your air fare from Singapore to Taipei or North America when you charge to your American Express•-Card. 
 Book now at: www.evaair.com/en-global/singapore/american-express.html "," Enjoy 5% savings off your air fare from Singapore to Taipei or North America when you charge to your American Express•-Card. 
 Book now at: www.evaair.com/en-global/singapore/american-express.html ",NA,Not available,"",http://www.promotions.americanexpress.com.sg/travel-offers/eva-air/,http://www.promotions.americanexpress.com.sg/media/68633/eva-air_635x455px.jpg,,0001-01-01,2015-07-31 T16:59:00,AMEX_3,207_AMEX_3,EVA Air,http://www.promotions.americanexpress.com.sg/media/68634/eva-air_logo.jpg,,Not Provided," • Not applicable for stop over flights and multi segments. Eg: Singapore • Los Angeles • San Francisco. Only applicable for Point to Point Segments including return flights. Eg: Singapore • Taipei • Singapore, Singapore • Los Angeles • Singapore 
 • Eligible Cards include a qualifying personal American Express Cards issued by American Express International Inc. in Singapore excluding American Express Corporate Cards and American Express Cards issued by DBS Bank Limited, United Overseas Bank Limited, Citibank Singapore Limited and/or EZ-Link Pte Ltd. 
 
 • The savings offered are for selected travel class (Economy • selected booking class, Elite and Business Class) of regular non-promotional fares that are now available on the website. 
 
 • This promotion is applicable for both adult and child fare purchased, excluding infant fare. Infant fare purchases and savings are not applicable. 
 
 • Promotion Period: 16 April • 31 July 2015 
 
 • Travel Period: 16 April • 30 September 2015 
 
 • Promotion applies to air fare only. Airline Fuel and Insurance Surcharge, Passenger Security Charge, Air Navigation Service Charge and other taxes and levy are not included. 
 
 • Refunds and changes are subjected to charges. No refund value for partially used tickets. 
 
 • This promotion is applicable for EVA Air operating flights only. 
 
 • EVA Air and American Express International Inc. reserves the right to amend fares, Terms and Conditions with/without prior notice. 
 
 • EVA Air and American Express International Inc. reserve the right to modify or terminate this EVA Air Promotion with/without prior notice. ",None,None,None,None,Travel,None,None,None,Offer Period: Book by 31 July 2015. Travel by 30 September 2015.,2815
207_3741,3741,Up to 15% savings at Irodori Japanese Restaurant,Up to 15% savings," Enjoy these offers at Irodori Japanese Restaurant when you pay with your American ExpressCard: 
 Irodori Japanese Restaurant Riverview Hotel  - 15% savings on total bill for lunch  - 10% savings on la carte dinner menu 
 Irodori Japanese Restaurant Selegie Road  - 15% savings on lunch buffet 
  Find Irodori Japanese Restaurant at: 
 382 Havelock Road, #03-01 Riverview Hotel, Singapore 169629 Telephone: 6737 2002 
 No. 1 Selegie Road #01-14/15, Singapore 188306 Telephone: 6337 7230 "," Enjoy these offers at Irodori Japanese Restaurant when you pay with your American ExpressCard: 
 Irodori Japanese Restaurant Riverview Hotel  - 15% savings on total bill for lunch  - 10% savings on la carte dinner menu 
 Irodori Japanese Restaurant Selegie Road  - 15% savings on lunch buffet 
   ","Find Irodori Japanese Restaurant at:</strong></p>
<p><span>382 Havelock Road, #03-01 Riverview Hotel, Singapore 169629 Telephone: 6737 2002</span></p>
<p><span>No. 1 Selegie Road #01-14/15, Singapore 188306 Telephone: 6337 7230</span></p>","382 Havelock Road, #03-01 Riverview Hotel, Singapore 169629 , [1.289427, 103.836535]","Singapore 169629, Singapore 188306",http://www.promotions.americanexpress.com.sg/dining-offers/irodori-japanese-restaurant/,http://www.promotions.americanexpress.com.sg/media/68660/irodori_img_rsz.jpg,,0001-01-01,2015-12-31 T23:59:00,AMEX_4,207_AMEX_4,Irodori Japanese Restaurant,http://www.promotions.americanexpress.com.sg/media/68659/irodori_logo_rsz.jpg,,Not Provided," 
 
 
 
 
 Not valid for alcohol beverages. 
 
 Offers are available when payment is made with the American Express Card, including American Express Corporate Cards and American Express Cards issued in Singapore by DBS Bank Limited, United Overseas Bank Limited, Citibank Singapore Limited and EZ-Link Pte Ltd. Prices listed may be subject to service charge and prevailing government taxes where applicable. Offers cannot be exchanged for cash or used in conjunction with other promotional programmes, offers, discount cards, vouchers or VIP privileges, unless otherwise stated. Merchants• Terms and Conditions apply - please check with respective stores for complete details. American Express acts solely as a payment provider and is not responsible or liable in the event that such services, activities or benefits are not provided or fulfilled by the merchant. Card Members acknowledge that any disputes in relation to the above are to be directed solely to the merchant providing such services, activities or benefits. American Express International Inc. is not responsible for the endorsement of any service or product featured. Merchants are solely responsible for the fulfilment of all offers. American Express International Inc. and the business establishments reserve the right to change the Terms and Conditions at any time without prior notice. All information is correct at the time of publication. Visit amexnetwork.com.sg for more details. 
 
 For dining offers, offers are not applicable on eve of Public Holidays, Public Holidays, Mother•s Day and Father•s Day, unless otherwise stated. 
 
 
 
 
 
 
 ",None,None,None,None,Dining,None,None,None,Offer valid from now to 31 December 2015,3648
207_3761,3761,Enjoy 15% savings at Dancing Crab,Enjoy 15% savings," Enjoy 15% savings on la carte food menu with minimum spend of S$200 at Dancing Crab when you pay with your American ExpressCard. 
 Find Dancing Crab at:  
 200 Turf City Road, #01-20/21 The Grandstand, Singapore 287994 "," Enjoy 15% savings on la carte food menu with minimum spend of S$200 at Dancing Crab when you pay with your American ExpressCard. 
  ","Find Dancing Crab at: </strong></p>
<p>200 Turf City Road, #01-20/21 The Grandstand, Singapore 287994</p>","200 Turf City Road, #01-20/21 The Grandstand, Singapore 287994, [1.337685, 103.793667]",Singapore 287994,http://www.promotions.americanexpress.com.sg/dining-offers/dancing-crab/,http://www.promotions.americanexpress.com.sg/media/68674/dancing-crab_rsz.jpg,,0001-01-01,2015-12-31 T23:59:00,AMEX_5,207_AMEX_5,Dancing Crab,http://www.promotions.americanexpress.com.sg/media/68673/dancing-crab-logo_rsz.jpg,,Not Provided," 
 
 
 Not valid with TungLok Privilege Card and on banquets (or for more than 30 persons). Savings  is exclusive of prevailing service charges and taxes. Valid for dine-in only. Limited to one redemption per visit, per Card, per bill, per table, unless otherwise stated. 
 Offers are available when payment is made with the American Express Card, including American Express Corporate Cards and American Express Cards issued in Singapore by DBS Bank Limited, United Overseas Bank Limited, Citibank Singapore Limited and EZ-Link Pte Ltd. Prices listed may be subject to service charge and prevailing government taxes where applicable. Offers cannot be exchanged for cash or used in conjunction with other promotional programmes, offers, discount cards, vouchers or VIP privileges, unless otherwise stated. Merchants• Terms and Conditions apply - please check with respective stores for complete details. American Express acts solely as a payment provider and is not responsible or liable in the event that such services, activities or benefits are not provided or fulfilled by the merchant. Card Members acknowledge that any disputes in relation to the above are to be directed solely to the merchant providing such services, activities or benefits. American Express International Inc. is not responsible for the endorsement of any service or product featured. Merchants are solely responsible for the fulfilment of all offers. American Express International Inc. and the business establishments reserve the right to change the Terms and Conditions at any time without prior notice. All information is correct at the time of publication. Visit amexnetwork.com.sg for more details. 
 For dining offers, offers are not applicable on eve of Public Holidays, Public Holidays, and special occasions such as Mother•s Day and Father•s Day, unless otherwise stated. 
 
 
 ",None,None,None,None,Dining,None,None,None,Offer valid until 31 December 2015,3417
207_3717,3717,Enjoy 15% savings on total bill at The Square @ Furama,Enjoy 15% savings on total bill," Enjoy 15% savings^ on your total bill or 1-for-1 buffet* lunch/dinner at The Square @ Furama when you pay with your American ExpressCard. 
 Find The Square @ Furama at: 
 405 Havelock Road, Level 2, Furama RiverFront, Singapore 169633 Telephone: 6739 6468 
 ^Offer valid until 31 December 2015  *Offer valid until 30 November 2015 "," Enjoy 15% savings^ on your total bill or 1-for-1 buffet* lunch/dinner at The Square @ Furama when you pay with your American ExpressCard. 
  ","Find The Square @ Furama at:</strong></p>
<p><span>405 Havelock Road, Level 2, Furama RiverFront, Singapore 169633 Telephone: 6739 6468</span></p>
<p><span><strong>^Offer valid until 31 December 2015</strong> <strong><br />*Offer valid until 30 November 2015</strong></span></p>","405 Havelock Road, Level 2, Furama RiverFront, Singapore 169633 , [1.287541, 103.8364239]",Singapore 169633,http://www.promotions.americanexpress.com.sg/dining-offers/the-square-@-furama/,http://www.promotions.americanexpress.com.sg/media/68642/the-square-furama_rsz.jpg,,0001-01-01,2015-12-31 T23:59:00,AMEX_6,207_AMEX_6,The Square @ Furama,http://www.promotions.americanexpress.com.sg/media/68641/the-square-furama_logo_rsz.jpg,,Not Provided," 
 
 
 
 Limited to maximum 8 diners per Card. 
 ^Offer valid till 31 December 2015. *Offer valid till 30 November 2015 only. 
 
 Offers are available when payment is made with the American Express Card, including American Express Corporate Cards and American Express Cards issued in Singapore by DBS Bank Limited, United Overseas Bank Limited, Citibank Singapore Limited and EZ-Link Pte Ltd. Prices listed may be subject to service charge and prevailing government taxes where applicable. Offers cannot be exchanged for cash or used in conjunction with other promotional programmes, offers, discount cards, vouchers or VIP privileges, unless otherwise stated. Merchants• Terms and Conditions apply - please check with respective stores for complete details. American Express acts solely as a payment provider and is not responsible or liable in the event that such services, activities or benefits are not provided or fulfilled by the merchant. Card Members acknowledge that any disputes in relation to the above are to be directed solely to the merchant providing such services, activities or benefits. American Express International Inc. is not responsible for the endorsement of any service or product featured. Merchants are solely responsible for the fulfilment of all offers. American Express International Inc. and the business establishments reserve the right to change the Terms and Conditions at any time without prior notice. All information is correct at the time of publication. Visit amexnetwork.com.sg for more details. 
 For dining offers, offers are not applicable on eve of Public Holidays, Public Holidays, and special occasions such as Mother•s Day and Father•s Day, unless otherwise stated. 
 
 
 ",None,None,None,None,Dining,None,None,None,,3663
207_3718,3718,1-for-1  house pour at Waterfall Lounge,1-for-1  house pour," Enjoy 1-for-1house pour beverages at Waterfall Lounge when you pay with your  American ExpressCard. 
 Find Waterfall Lounge at: 
 405 Havelock Road, Lobby Level, Furama RiverFront, Singapore 169633  Telephone: 6333 8898 (ext: 538)  "," Enjoy 1-for-1house pour beverages at Waterfall Lounge when you pay with your  American ExpressCard. 
  ","Find Waterfall Lounge at:</strong></p>
<p><span>405 Havelock Road, Lobby Level, Furama RiverFront, Singapore 169633 <br />Telephone: 6333 8898 (ext: 538) </span></p>","405 Havelock Road, Lobby Level, Furama RiverFront, Singapore 169633 , [1.287541, 103.8364239]",Singapore 169633,http://www.promotions.americanexpress.com.sg/dining-offers/waterfall-lounge/,http://www.promotions.americanexpress.com.sg/media/68643/waterfall-lounge_rsz.jpg,,0001-01-01,2015-12-31 T23:59:00,AMEX_7,207_AMEX_7,Waterfall Lounge,http://www.promotions.americanexpress.com.sg/media/68644/waterfall-lounge_logo_rsz.jpg,,Not Provided," 
 
 
 
 
 Valid daily from 5pm - 10pm only. Not valid for full bottle purchases. 
 
 Offers are available when payment is made with the American Express Card, including American Express Corporate Cards and American Express Cards issued in Singapore by DBS Bank Limited, United Overseas Bank Limited, Citibank Singapore Limited and EZ-Link Pte Ltd. Prices listed may be subject to service charge and prevailing government taxes where applicable. Offers cannot be exchanged for cash or used in conjunction with other promotional programmes, offers, discount cards, vouchers or VIP privileges, unless otherwise stated. Merchants• Terms and Conditions apply - please check with respective stores for complete details. American Express acts solely as a payment provider and is not responsible or liable in the event that such services, activities or benefits are not provided or fulfilled by the merchant. Card Members acknowledge that any disputes in relation to the above are to be directed solely to the merchant providing such services, activities or benefits. American Express International Inc. is not responsible for the endorsement of any service or product featured. Merchants are solely responsible for the fulfilment of all offers. American Express International Inc. and the business establishments reserve the right to change the Terms and Conditions at any time without prior notice. All information is correct at the time of publication. Visit amexnetwork.com.sg for more details. 
 For dining offers, offers are not applicable on eve of Public Holidays, Public Holidays, and special occasions such as Mother•s Day and Father•s Day, unless otherwise stated. 
 
 
 
 
 ",None,None,None,None,Dining,None,None,None,Offer valid until 31 December 2015,3648
207_3712,3712,Enjoy 15% savings on total bill at Kintamani Indonesian Restaurant,Enjoy 15% savings on total bill," Enjoy 15% savings^ on your total bill or 1-for-1 buffet* lunch/dinner at Kintamani Indonesian Restaurant when you pay with your American ExpressCard. 
 Find Kintamari Indonesian Restaurant at:   405 Havelock Road, Level 3, Furama RiverFront, Singapore 169633 Telephone: 6739 6463  
  ^Offer valid until 31 December 2015  *Offer valid until 30 November 2015 "," Enjoy 15% savings^ on your total bill or 1-for-1 buffet* lunch/dinner at Kintamani Indonesian Restaurant when you pay with your American ExpressCard. 
  ","Find Kintamari Indonesian Restaurant at:</strong> <br /><br /><span>405 Havelock Road, Level 3, Furama RiverFront, Singapore 169633 Telephone: 6739 6463 </span></p>
<p><span> <strong>^Offer valid until 31 December 2015</strong> <br /><strong>*Offer valid until 30 November 2015</strong></span></p>","405 Havelock Road, Level 3, Furama RiverFront, Singapore 169633 , [1.287541, 103.8364239]",Singapore 169633,http://www.promotions.americanexpress.com.sg/dining-offers/kintamani-indonesian-restaurant/,http://www.promotions.americanexpress.com.sg/media/68639/kintamani-indonesian-restaurant-buffet_rsz.jpg,,0001-01-01,2015-12-31 T23:59:00,AMEX_8,207_AMEX_8,Kintamani Indonesian Restaurant,http://www.promotions.americanexpress.com.sg/media/68638/kintamani-logo_rsz.jpg,,Not Provided," 
 
 
 
 Limited to maximum 8 diners per Card. 
 ^Offer valid till 31 December 2015. *Offer valid till 30 November 2015 only. 
 
 Offers are available when payment is made with the American Express Card, including American Express Corporate Cards and American Express Cards issued in Singapore by DBS Bank Limited, United Overseas Bank Limited, Citibank Singapore Limited and EZ-Link Pte Ltd. Prices listed may be subject to service charge and prevailing government taxes where applicable. Offers cannot be exchanged for cash or used in conjunction with other promotional programmes, offers, discount cards, vouchers or VIP privileges, unless otherwise stated. Merchants• Terms and Conditions apply - please check with respective stores for complete details. American Express acts solely as a payment provider and is not responsible or liable in the event that such services, activities or benefits are not provided or fulfilled by the merchant. Card Members acknowledge that any disputes in relation to the above are to be directed solely to the merchant providing such services, activities or benefits. American Express International Inc. is not responsible for the endorsement of any service or product featured. Merchants are solely responsible for the fulfilment of all offers. American Express International Inc. and the business establishments reserve the right to change the Terms and Conditions at any time without prior notice. All information is correct at the time of publication. Visit amexnetwork.com.sg for more details. 
 For dining offers, offers are not applicable on eve of Public Holidays, Public Holidays, and special occasions such as Mother•s Day and Father•s Day, unless otherwise stated. 
 
 
 ",None,None,None,None,Dining,None,None,None,,3663
207_3676,3676,Enjoy 20% savings at TungLok Heen,Enjoy 20% savings," Enjoy 20% savings on la carte food menu with minimum spend of S$200 at TungLok Heen when you pay with your American ExpressCard. 
 Find TungLok Heen at:  
 26 Sentosa Gateway #02-142/143, Singapore 098138 "," Enjoy 20% savings on la carte food menu with minimum spend of S$200 at TungLok Heen when you pay with your American ExpressCard. 
  ","Find TungLok Heen at: </strong></p>
<p>26 Sentosa Gateway #02-142/143, Singapore 098138</p>","26 Sentosa Gateway #02-142/143, Singapore 098138, [1.257681, 103.8222229]",Singapore 098138,http://www.promotions.americanexpress.com.sg/dining-offers/tunglok-heen/,http://www.promotions.americanexpress.com.sg/media/68616/tunglok-heen_rsz.tif,,0001-01-01,2015-12-31 T23:59:00,AMEX_9,207_AMEX_9,TungLok Heen,http://www.promotions.americanexpress.com.sg/media/68617/tunglok-heen-logo_rsz.jpg,,Not Provided," 
 
 
 Not valid with TungLok Privilege Card and on banquets (or for more than 30 persons). Savings is exclusive of prevailing service charges and taxes. Valid for dine-in only. Limited to one redemption per visit, per Card, per bill, per table, unless otherwise stated. 
 Offers are available when payment is made with the American Express Card, including American Express Corporate Cards and American Express Cards issued in Singapore by DBS Bank Limited, United Overseas Bank Limited, Citibank Singapore Limited and EZ-Link Pte Ltd. Prices listed may be subject to service charge and prevailing government taxes where applicable. Offers cannot be exchanged for cash or used in conjunction with other promotional programmes, offers, discount cards, vouchers or VIP privileges, unless otherwise stated. Merchants• Terms and Conditions apply - please check with respective stores for complete details. American Express acts solely as a payment provider and is not responsible or liable in the event that such services, activities or benefits are not provided or fulfilled by the merchant. Card Members acknowledge that any disputes in relation to the above are to be directed solely to the merchant providing such services, activities or benefits. American Express International Inc. is not responsible for the endorsement of any service or product featured. Merchants are solely responsible for the fulfilment of all offers. American Express International Inc. and the business establishments reserve the right to change the Terms and Conditions at any time without prior notice. All information is correct at the time of publication. Visit amexnetwork.com.sg for more details. 
 For dining offers, offers are not applicable on eve of Public Holidays, Public Holidays, and special occasions such as Mother•s Day and Father•s Day, unless otherwise stated. 
 
 
 ",None,None,None,None,Dining,None,None,None,Offer valid until 31 December 2015,3672
207_3659,3659,Enjoy 15% savings at Shin Yeh Restaurant,Enjoy 15% savings," Enjoy 15% savings on la carte food menu with minimum spend of S$150 at Shin Yeh Restaurant when you pay with your American ExpressCard. 
 Find Shin Yeh Restaurant at:  177 River Valley Road, #02-19 Liang Court Shopping Centre, Singapore 179030 "," Enjoy 15% savings on la carte food menu with minimum spend of S$150 at Shin Yeh Restaurant when you pay with your American ExpressCard. 
  ","Find Shin Yeh Restaurant at:<br /><br /></strong>177 River Valley Road, #02-19 Liang Court Shopping Centre, Singapore 179030</p>","177 River Valley Road, #02-19 Liang Court Shopping Centre, Singapore 179030, [1.29178, 103.844896]",Singapore 179030,http://www.promotions.americanexpress.com.sg/dining-offers/shin-yeh-restaurant/,http://www.promotions.americanexpress.com.sg/media/68608/shin-yeh-restaurant_img_rsz.jpg,,0001-01-01,2015-12-31 T23:59:00,AMEX_10,207_AMEX_10,Shin Yeh Restaurant,http://www.promotions.americanexpress.com.sg/media/68607/shin-yeh-logo_rsz.jpg,,Not Provided," 
 
 
 Not valid with TungLok Privilege Card and on banquets (or for more than 30 persons). Savings is exclusive of prevailing service charges and taxes. Valid for dine-in only. Limited to one redemption per visit, per Card, per bill, per table, unless otherwise stated. 
 Offers are available when payment is made with the American Express Card, including American Express Corporate Cards and American Express Cards issued in Singapore by DBS Bank Limited, United Overseas Bank Limited, Citibank Singapore Limited and EZ-Link Pte Ltd. Prices listed may be subject to service charge and prevailing government taxes where applicable. Offers cannot be exchanged for cash or used in conjunction with other promotional programmes, offers, discount cards, vouchers or VIP privileges, unless otherwise stated. Merchants• Terms and Conditions apply - please check with respective stores for complete details. American Express acts solely as a payment provider and is not responsible or liable in the event that such services, activities or benefits are not provided or fulfilled by the merchant. Card Members acknowledge that any disputes in relation to the above are to be directed solely to the merchant providing such services, activities or benefits. American Express International Inc. is not responsible for the endorsement of any service or product featured. Merchants are solely responsible for the fulfilment of all offers. American Express International Inc. and the business establishments reserve the right to change the Terms and Conditions at any time without prior notice. All information is correct at the time of publication. Visit amexnetwork.com.sg for more details. 
 For dining offers, offers are not applicable on eve of Public Holidays, Public Holidays, and special occasions such as Mother•s Day and Father•s Day, unless otherwise stated. 
 
 
 ",None,None,None,None,Dining,None,None,None,Offer valid until 31 December 2015,3663
