Deal_Id,ProviderDeal_ID,Full_Title,Short_Title,Full_Desc,Short_Desc,all_details,Outlets,PostalCodes,DealSite_URL,DealImage_URL,HighlightImage_URL,Start_Date,End_Date,Merchant_ID,ProviderMerchant_ID,Merchant_Name,Merchant_Image_URL,MerchantWebsite_URL,Card_Type,Terms_and_Conditions,CardImages_URL,isFeatured,homeFeatured,isOnlineMerchant,category,subCategory,keywords,bookmark
211_1,211,Asia Fashion Inc,Asia Fashion Inc,10% off regular-priced and sale items with a minimum spend of S$100,10% off regular-priced and sale items with a minimum spend of S$100, ,Not available, ,http://www.cimbbank.com.sg/promo/onlinemerchantdeals/,http://www.cimbbank.com.sg/content/dam/cimbsingapore/personal/news-and-promotions/cards/small-signposts/cimb-online-merchant-deals/201x120-asia-fashion-inc-20150511.jpg, , ,Not available,CIMB_1,211_CIMB_1,Asia Fashion Inc, , ,All,"To enjoy the offer, please enter the promo code ‘CIMBSPECIAL’ at the checkout page.", , , , ,Online, , , 
211_2,211,iMyBags.com.sg,iMyBags.com.sg,10% off iMyBags price,10% off iMyBags price, ,Not available, ,http://www.cimbbank.com.sg/promo/onlinemerchantdeals/,http://www.cimbbank.com.sg/content/dam/cimbsingapore/personal/news-and-promotions/cards/small-signposts/cimb-online-merchant-deals/201x120-imybags-20150511.jpg, , ,2015-12-10 T23:59:59,CIMB_2,211_CIMB_2,iMyBags.com.sg, , ,All,"To enjoy the offer, please enter the promo code '10CIMB' at the checkout page. Offer is not applicable on the following brands: Chanel, LV, Dior and Hermes collections.", , , , ,Online, , , 
211_3,211,Pediped ® Footwear,Pediped ® Footwear,10% off regular-priced items,10% off regular-priced items, ,Not available, ,http://www.cimbbank.com.sg/promo/onlinemerchantdeals/,http://www.cimbbank.com.sg/content/dam/cimbsingapore/personal/news-and-promotions/cards/small-signposts/cimb-online-merchant-deals/201x120-pediped-footwear-20150511.jpg, , ,2015-05-01 T23:59:59,CIMB_3,211_CIMB_3,Pediped ® Footwear, , ,All,"To enjoy the offer, please enter the promo code ‘CIMBXPEDI10’ when prompted at the checkout page. Promo code may not be used in conjunction with other promotions.", , , , ,Online, , , 
211_4,211,Foxysales,Foxysales,Additional 10% off storewide with a minimum spend of S$100 Additional 5% off storewide with a minimum spend of S$50,Additional 10% off storewide with a minimum spend of S$100 Additional 5% off storewide with a minimum spend of S$50, ,Not available, ,http://www.cimbbank.com.sg/promo/onlinemerchantdeals/,http://www.cimbbank.com.sg/content/dam/cimbsingapore/personal/news-and-promotions/cards/small-signposts/cimb-online-merchant-deals/201x120-foxysales-20150511.jpg, , ,2015-12-10 T23:59:59,CIMB_4,211_CIMB_4,Foxysales, , ,All,"To enjoy the offer, key in '10CIMB' or '5CIMB' followed by first 6 digits of CIMB Credit Card number at the checkout page. Not valid on diapers. Valid for first-time customers only.", , , , ,Online, , , 
211_5,211,Hazel Florist & Gifts,Hazel Florist & Gifts,10% off with a minimum spend of S$55 in a single transaction,10% off with a minimum spend of S$55 in a single transaction, ,Not available, ,http://www.cimbbank.com.sg/promo/onlinemerchantdeals/,http://www.cimbbank.com.sg/content/dam/cimbsingapore/personal/news-and-promotions/cards/small-signposts/cimb-online-merchant-deals/201x120-hazel-florist-and-gifts-20150511.jpg, , ,Not available,CIMB_5,211_CIMB_5,Hazel Florist & Gifts, , ,All,"Not valid during Valentine’s Day and special occasions. To enjoy the offer, please key in 'CIMB46787' when prompted at checkout page.", , , , ,Online, , , 
211_6,211,OrderOnline.sg,OrderOnline.sg,10% off storewide with complimentary delivery with a minimum spend of S$50,10% off storewide with complimentary delivery with a minimum spend of S$50, ,Not available, ,http://www.cimbbank.com.sg/promo/onlinemerchantdeals/,http://www.cimbbank.com.sg/content/dam/cimbsingapore/personal/news-and-promotions/cards/small-signposts/cimb-online-merchant-deals/201x120orderonline-20150511.jpg, , ,Not available,CIMB_6,211_CIMB_6,OrderOnline.sg, , ,All,"To enjoy the offer, key in 'CIMBONLINE' at the checkout page.", , , , ,Online, , , 
211_7,211,UClick2Buy.com,UClick2Buy.com,15% off shipping rates for USA and China websites,15% off shipping rates for USA and China websites, ,Not available, ,http://www.cimbbank.com.sg/promo/onlinemerchantdeals/,http://www.cimbbank.com.sg/content/dam/cimbsingapore/personal/news-and-promotions/cards/small-signposts/cimb-online-merchant-deals/201x120-uclick2buy-20150511.jpg, , ,2015-12-15 T23:59:59,CIMB_7,211_CIMB_7,UClick2Buy.com, , ,All,"To enjoy the offer, please enter promo code 'UCCIMB15' when prompted at the checkout page.", , , , ,Online, , , 
211_8,211,Cat & The Fiddle,Cat & The Fiddle,10% off regular-priced items,10% off regular-priced items, ,Not available, ,http://www.cimbbank.com.sg/promo/onlinemerchantdeals/,http://www.cimbbank.com.sg/content/dam/cimbsingapore/personal/news-and-promotions/cards/small-signposts/cimb-online-merchant-deals/201x120-cat-and-the-fiddle-20150511.jpg, , ,Not available,CIMB_8,211_CIMB_8,Cat & The Fiddle, , ,All,"To enjoy the offer, key in 'CIMB' at the 'View Cart' page. Discount is not applicable on delivery and self collection at third party location.", , , , ,Online, , , 
211_9,211,HappyCurry.com,HappyCurry.com,10% off all orders,10% off all orders, ,Not available, ,http://www.cimbbank.com.sg/promo/onlinemerchantdeals/,http://www.cimbbank.com.sg/content/dam/cimbsingapore/personal/news-and-promotions/cards/small-signposts/cimb-online-merchant-deals/201x120-happycurry-20150511.jpg, , ,Not available,CIMB_9,211_CIMB_9,HappyCurry.com, , ,All,"To enjoy the offer, key in 'HAPPYCURRY' at the checkout page.", , , , ,Online, , , 
211_10,211,Lazyfruits,Lazyfruits,10% off total bill,10% off total bill, ,Not available, ,http://www.cimbbank.com.sg/promo/onlinemerchantdeals/,http://www.cimbbank.com.sg/content/dam/cimbsingapore/personal/news-and-promotions/cards/small-signposts/cimb-online-merchant-deals/201x120-lazyfruits-20150511.jpg, , ,2015-12-10 T23:59:59,CIMB_10,211_CIMB_10,Lazyfruits, , ,All,"To enjoy the offer, key in 'CIMB10' at the checkout page.", , , , ,Online, , , 
