Deal_Id,ProviderDeal_ID,Full_Title,Short_Title,Full_Desc,Short_Desc,all_details,Outlets,PostalCodes,DealSite_URL,DealImage_URL,HighlightImage_URL,Start_Date,End_Date,Merchant_ID,ProviderMerchant_ID,Merchant_Name,Merchant_Image_URL,MerchantWebsite_URL,Card_Type,Terms_and_Conditions,CardImages_URL,isFeatured,homeFeatured,isOnlineMerchant,category,subCategory,keywords,bookmark
212_122557,212,"Tier Bar, Amara Sanctuary Resort Sentosa","Tier Bar, Amara Sanctuary Resort Sentosa",15% off total bill (excluding Sunday Brunch),15% off total bill (excluding Sunday Brunch),0,"Addr: 1 Beach Road; Postal: 189673; Coords: 1.295791, 103.854042",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_122557.jpg,0,0,2015-12-31 T23:59:59,CITI_122557,212_CITI_122557,"Bar & Billiard Room, Raffles",0,0,All,"Not valid on Eve of and on Public Holidays and special occasions including Valentine’s Day, Chinese New Year, Mother’s Day, Formula One season, Christmas Day and New Year's Day. Not valid for premium wines and spirits.",0,0,0,0,Dining,Not available,0,0
212_123583,212,Barossa,Barossa,10% off total bill with a min. spend of SGD80,10% off total bill with a min. spend of SGD80,0,"Addr: 8 Raffles Avenue, #01-11 Esplanade Mall; Postal: 039802; Coords: 1.289825, 103.855019|Addr: 22 Lorong Mambong, Holland Village; Postal: 277681; Coords: 1.311435, 103.794914",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_123583.jpg,0,0,2015-12-31 T23:59:59,CITI_123583,212_CITI_123583,Barossa,0,0,All,"Not valid on eve of and on public holidays and special occasions (Valentine's Day, Mother's Day and Father's Day).",0,0,0,0,Dining,Not available,0,0
212_124843,212,BERING,BERING,SGD10 voucher with minimum spend of SGD100 nett,SGD10 voucher with minimum spend of SGD100 nett,0,"Addr: CHRONOBREEZE, Raffles City S.C. #B1-42B, 252 North Bridge Road; Postal: 179103; Coords: 1.294149, 103.852806|Addr: Nex #01-K03, 23 Serangoon Central; Postal: 556083; Coords: 1.350644, 103.871803|Addr: Suntec City Mall #01-357, 3 Temasek Boulevard; Postal: 038983; Coords: 1.295749, 103.859711|Addr: The Shoppes at Marina Bay Sands #B2-61, 10 Bayfront Avenue; Postal: 018956; Coords: 1.282275, 103.858322|Addr: VivoCity #01-K28, 1 Harbourfront Walk; Postal: 098585; Coords: 1.264867, 103.822357|Addr: Westgate #01-K2, 3 Gateway Drive; Postal: 608537; Coords: 1.335021, 103.742912",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_124843.jpg,0,0,2015-07-31 T23:59:59,CITI_124843,212_CITI_124843,BERING,0,0,All,Not valid for sale items.,0,0,0,0,Shopping,Not available,0,0
212_125053,212,Best Denki,Best Denki,"Complimentary bluetooth headset, wireless mouse and bluetooth...","Complimentary bluetooth headset, wireless mouse and bluetooth...",0,"Addr: Century Square #04-04/05, 2 Tampines Central 5; Postal: 529509; Coords: 1.352299, 103.943855|Addr: City Square Mall #01/04 B2, 180 Kitchener Road, #01/04 B2; Postal: 208539; Coords: 1.311403, 103.856621|Addr: The Clementi Mall #04-46/47/48/49, 3155 Commonwealth West Avenue; Postal: 129588; Coords: 1.314942, 103.764236|Addr: Compass Point #03-26, 1 Sengkang Square; Postal: 545078; Coords: 1.392272, 103.894775|Addr: Great World City #02-33B/D, 1 Kim Seng Promenade; Not available; Coords: 1.292619, 103.831627|Addr: IMM Building #03-33 to 47, 2 Jurong East Street 21; Postal: 609601; Coords: 1.334938, 103.746872|Addr: Junction 8 Shopping Centre #03-02, 9 Bishan Place; Postal: 579837; Coords: 1.350321, 103.848625|Addr: Ngee Ann City #05-01/04, 391 Orchard Road; Postal: 238872; Coords: 1.302708, 103.835320|Addr: Parkway Parade Complex #02-33, 80 Marine Parade Road; Postal: 449269; Coords: 1.301987, 103.905067|Addr: VivoCity #02-07, 1 Harbourfront Walk; Postal: 098585; Coords: 1.264867, 103.822357|Addr: Bedok Mall #B1-01/43/44, 311 New Upper Changi Road; Postal: 467360; Coords: 1.324427, 103.931023",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_125053.jpg,0,0,2015-07-31 T23:59:59,CITI_125053,212_CITI_125053,Best Denki,0,0,All,"All Best Denki retail outlets. For full outlet listing, visit go.bestdenki.com.sg.",0,0,0,0,Lifestyle & Entertainment,Not available,0,0
212_120143,212,Birthday offer at Big O,Birthday offer at Big O,Birthday Age % off total food bill,Birthday Age % off total food bill,0,"Addr: 290 Orchard Rd, #B1-08 Paragon; Postal: 238859; Coords: 1.304510, 103.836182",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_120143.jpg,0,0,2015-12-31 T23:59:59,CITI_120143,212_CITI_120143,Big O Cafe & Restaurant,0,0,All,"- Reservations must be made at least 3 days in advance.
- A valid ID with photo must be presented before ordering.
- Valid on Cardmember’s Birthday Month till 31 December 2015.
- Valid for dine-in only from Sunday to Thursday from 6pm, except on eve of and on Public Holidays.
- Offer is valid for food only from a-la-carte menu, excluding Alcoholic Beverages, Sweets, Cake Menu and Set Meals.
- Optional birthday cake can be ordered from Big O Cafe & Restaurant as no outside food is allowed to be consumed within the restaurant premise.
- Offer valid when payment is made with a Citibank Credit or Debit card.
- Not valid with other promotions, discount cards, promotional vouchers and in-house offer discount cards.",0,0,0,0,Dining,Not available,0,0
212_124893,212,Billabong,Billabong,"15% off with purchase of 2 items","15% off with purchase of 2 items",0,"Addr: 313@Somerset: 13 Orchard Road, #04-29; Postal: 238895; Coords: 1.285453, 103.830391|Addr: 230 Victoria Street #02-10C Bugis Junction; Postal: 188024; Coords: 1.299617, 103.855202|Addr: Wave House Sentosa: 36 Siloso Beach Walk, #01-03; Postal: 099009; Coords: 1.280094, 103.850952",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_124893.jpg,0,0,2015-07-31 T23:59:59,CITI_124893,212_CITI_124893,Billabong,0,0,All,"Valid for regular-priced Billabong, Sector 9 and VonZipper products only.",0,0,0,0,Shopping,Not available,0,0
212_125133,212,Billabong,Billabong,10% off with minimum spend of SGD80,10% off with minimum spend of SGD80,0,"Addr: Singapore Changi Airport Terminal 1 Transit Lounge East, #02-46, Singapore Changi Airport: Airport Boulevard; Postal: 819642; Coords: 1.356716, 103.986511",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_125133.jpg,0,0,2016-04-30 T23:59:59,CITI_125133,212_CITI_125133,Billabong,0,0,All,General terms and conditions apply.,0,0,0,0,Shopping,Not available,0,0
212_124985,212,Biotherm,Biotherm,Complimentary 3piece Hydration Gift (worth up to SGD23) with...,Complimentary 3piece Hydration Gift (worth up to SGD23) with...,0,"Addr: Metro Paragon #02-28, 290 Orchard Rd; Postal: 238859; Coords: 1.304510, 103.836182|Addr: Robinsons The Heeren, 260 Orchard Road; Postal: 238855; Coords: 1.302962, 103.837189|Addr: Robinsons Raffles City #03-01, 252 North Bridge Rd; Postal: 179103; Coords: 1.293906, 103.853348|Addr: TANGS Orchard, 310 Orchard Road; Postal: 238864; Coords: 1.305029, 103.833084|Addr: TANGS VivoCity #01-187, 1 Harbourfront Walk; Postal: 098585; Coords: 1.264867, 103.822357",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_124985.jpg,0,0,2015-07-31 T23:59:59,CITI_124985,212_CITI_124985,Biotherm,0,0,All,General terms and conditions apply,0,0,0,0,Shopping,Not available,0,0
212_120887,212,"Bob's Bar, Capella Singapore","Bob's Bar, Capella Singapore","Citibank ULTIMA Card:","Citibank ULTIMA Card:",0,"Addr: 1 The Knolls, Sentosa; Postal: 098297; Coords: 1.322938, 103.917336",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_120887.jpg,0,0,2015-12-31 T23:59:59,CITI_120887,212_CITI_120887,"Bob's Bar, Capella Singapore",0,0,All,"- Valid for dine-in only. 
- Not applicable for set menus, Sunday Brunch and special events. 
- Not valid on eve of and on Public Holidays, including 15 days of Chinese New Year and blackout dates. 
- General terms and conditions apply.",0,0,0,0,Dining,Not available,0,0
212_123585,212,Boston Seafood Shack,Boston Seafood Shack,10% off total bill with a min. spend of SGD80,10% off total bill with a min. spend of SGD80,0,"Addr: 1 Kim Seng Promenade, #03-31 Great World City; Postal: 237994; Coords: 1.293984, 103.832085|Addr: 1 Vista Exchange Green, #01-46 The Star Vista; Postal: 138617; Coords: 1.306842, 103.788437",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_123585.jpg,0,0,2015-12-31 T23:59:59,CITI_123585,212_CITI_123585,Boston Seafood Shack,0,0,All,"Not valid on eve of and on public holidays and special occasions (Valentine's Day, Mother's Day and Father's Day).",0,0,0,0,Dining,Not available,0,0
212_124913,212,Bratpack,Bratpack,Up to 50% off selected items + additional 10% off with minimum...,Up to 50% off selected items + additional 10% off with minimum...,0,"Addr: Bugis Junction #03-10G, 200 Victoria Street; Postal: 188021; Coords: 1.299369, 103.854919|Addr: Cathay Cineleisure #02-10, 8 Grange Road; Postal: 239695; Coords: 1.301555, 103.836662|Addr: Changi Airport Terminal 3 #B2-43, 65 Airport Boulevard Terminal 3; Postal: 819663; Coords: 1.355912, 103.987022|Addr: Changi Airport Terminal 3 #02-K13R (Transit), 65 Airport Boulevard Terminal 3; Postal: 819663; Coords: 1.441404, 103.826309|Addr: Mandarin Gallery #02-04, 333A Orchard Road; Postal: 228897; Coords: 1.302154, 103.836632",None,http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://www.citiworldprivileges.com/data/images/offer_details/desktop/offer_merc_image_124913.jpg,0,0,2015-08-02 T23:59:59,CITI_124913,212_CITI_124913,Bratpack,0,0,All,General terms and conditions apply,0,0,0,0,Shopping,Not available,0,0
