Deal_Id,ProviderDeal_ID,Full_Title,Short_Title,Full_Desc,Short_Desc,all_details,Outlets,PostalCodes,DealSite_URL,DealImage_URL,HighlightImage_URL,Start_Date,End_Date,Merchant_ID,ProviderMerchant_ID,Merchant_Name,Merchant_Image_URL,MerchantWebsite_URL,Card_Type,Terms_and_Conditions,CardImages_URL,isFeatured,homeFeatured,isOnlineMerchant,category,subCategory,keywords,bookmark
219_1,219,ASIATRAVEL.COM,ASIATRAVEL.COM,Additional 12% off on booking value Enter promotion code “MAYBANK12” upon checkout to enjoy the promotion,Additional 12% off on booking value Enter promotion code “MAYBANK12” upon checkout to enjoy the promotion,0,Addr: Not available; Postal: Not available; Coord: Not available,[],http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://info.maybank2u.com.sg/images/personal/cards/gss2015/asiatravel.jpg,0,0,2015-05-13 T23:59:59,MayBank_1,219_MayBank_1,ASIATRAVEL.COM,0,0,All,"Terms and Conditions   Offer is valid from 13 May till 31 December 2015  Valid for new pre-paid online bookings with CV logo indicated only  Simply enter the promotion code 'MAYBANK12' at the payment page using Maybank Credit/Debit Card to enjoy instant discount. Applicable for these categories:   Hotel Bookings    Land Packages(Hotel + Tour)    Tours & Attractions       Offer is not valid in conjunction with any other promotion and not valid with cash vouchers  All bookings must be made through www.asiatravel.com/cards/maybank to enjoy the instant discount  All bookings must be made with a Maybank Credit/Debit Card issued in Singapore only  Hotels, Land Packages, Tours & Attractions terms and conditions apply  Asiatravel.com reserves the right to change the terms and conditions without prior notice   Maybank TREATS General Terms and Conditions apply (PDF)",0,0,0,0,Shopping,Not available,0,0
219_1,219,AIRASIAGO,AIRASIAGO,10% off on hotel bookings,10% off on hotel bookings,0,Addr: Not available; Postal: Not available; Coord: Not available,[],http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://info.maybank2u.com.sg/images/personal/cards/gss2015/airasiago.jpg,0,0,2015-12-31 T23:59:59,MayBank_1,219_MayBank_1,AIRASIAGO,0,0,All,Terms and Conditions   Valid till 31 December 2015  Valid for stay till 31 March 2016   Maybank TREATS General Terms and Conditions apply (PDF),0,0,0,0,Shopping,Not available,0,0
219_1,219,"ANGSANA LANG CO, CENTRAL VIETNAM","ANGSANA LANG CO, CENTRAL VIETNAM",USD$290++ per night with daily breakfast for 2 Complimentary shuttle service to Hoi An and Hue Complimentary airport transfer Daily breakfast for two Complimentary late checkout until 6pm Complimentary unlimited daily golf OR unlimited daily spa treatments OR daily full board dining (food only) Complimentary upgrade* to next available room type,USD$290++ per night with daily breakfast for 2 Complimentary shuttle service to Hoi An and Hue Complimentary airport transfer Daily breakfast for two Complimentary late checkout until 6pm Complimentary unlimited daily golf OR unlimited daily spa treatments OR daily full board dining (food only) Complimentary upgrade* to next available room type,0,Addr: Not available; Postal: Not available; Coord: Not available,[],http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://info.maybank2u.com.sg/images/personal/cards/treats2015/travel/angsana.jpg,0,0,2015-10-31 T23:59:59,MayBank_1,219_MayBank_1,"ANGSANA LANG CO, CENTRAL VIETNAM",0,0,All,Terms and Conditions   Valid for booking till 31 October 2015  Valid for stay till 22 December 2015  Valid with promotional code: “ BBPMAY ”upon reservation  Not valid with other promotions and gift certificates  Guaranteed minimum 2 spa treatments per day  *Complimentary upgrade from Deluxe to Premier and Premier to One Bedroom Suite   Maybank TREATS General Terms and Conditions apply (PDF),0,0,0,0,Shopping,Not available,0,0
219_1,219,ASIATRAVEL.COM,ASIATRAVEL.COM,Additional 9% off on booking value Enter promo code “MAYBANK9” upon checkout to enjoy the promotion Click here to find out more.,Additional 9% off on booking value Enter promo code “MAYBANK9” upon checkout to enjoy the promotion Click here to find out more.,0,Addr: Not available; Postal: Not available; Coord: Not available,[],http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://info.maybank2u.com.sg/images/personal/cards/treats2015/travel/asiatravel.jpg,0,0,2015-12-31 T23:59:59,MayBank_1,219_MayBank_1,ASIATRAVEL.COM,0,0,All,"Terms and Conditions   Offer is valid till 31 December 2015  Valid for online prepay new bookings with CV logo indicated only  Simply enter the promo code “ MAYBANK9 ” at the payment page using Maybank Credit/Debit Card to enjoy instant discount  Applicable for below products & services:   Hotel Bookings    Land Packages(Hotel + Tour)    Tours & Attractions     Offer is not valid in-conjunction with any other promotion and not valid with cash vouchers  All bookings must be made through www.asiatravel.com/cards/maybank to enjoy the instant discount  All bookings must be made with a Maybank Credit/Debit Card  Hotels, Land Packages, Tours & Attractions terms and conditions apply  This offer is only applicable to Maybank Credit/Debit Cards issued in Singapore only  Asiatravel.com reserves the right to change the Terms & Conditions without prior notice   Maybank TREATS General Terms and Conditions apply (PDF)",0,0,0,0,Shopping,Not available,0,0
219_1,219,AVIS,AVIS,Up to 30% off on Avis standard rates Singapore Up to 10% off on Avis super value rates worldwide,Up to 30% off on Avis standard rates Singapore Up to 10% off on Avis super value rates worldwide,0,Addr: Not available; Postal: Not available; Coord: Not available,[],http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://info.maybank2u.com.sg/images/personal/cards/gss2015/avis.jpg,0,0,2015-12-31 T23:59:59,MayBank_1,219_MayBank_1,AVIS,0,0,All,"Terms and Conditions   Valid till 31 December 2015  Not valid in conjunction with other offers, coupons or promotions  Not valid for package tours, travel industry or government rates  Advance booking required (24 hours minimum prior to rental date)  Please quote AWD K296800 upon reservation  Valid on all car groups   Maybank TREATS General Terms and Conditions apply (PDF)",0,0,0,0,Shopping,Not available,0,0
219_1,219,"BANYAN TREE LANG CO, CENTRAL VIETNAM","BANYAN TREE LANG CO, CENTRAL VIETNAM",Complimentary 3rd night stay with booking of 3 nights stay Complimentary upgrade to Beach Pool Villa Daily breakfast for two 20% off Food and Beverages 20% off Banyan Tree Spa,Complimentary 3rd night stay with booking of 3 nights stay Complimentary upgrade to Beach Pool Villa Daily breakfast for two 20% off Food and Beverages 20% off Banyan Tree Spa,0,Addr: Not available; Postal: Not available; Coord: Not available,[],http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://info.maybank2u.com.sg/images/personal/cards/treats2015/travel/banyan.jpg,0,0,2015-10-31 T23:59:59,MayBank_1,219_MayBank_1,"BANYAN TREE LANG CO, CENTRAL VIETNAM",0,0,All,Terms and Conditions   Complimentary  night will be granted at time of check-in  Valid for booking till 31 October 2015  Valid for stay till 22 December 2015  Valid with promotional code: “ MAYBANK ” upon reservation  Valid only for Stay 3 Pay 2 promotion  Valid for minimum booking of 3 nights  Not valid with other promotions or gift certificates   Maybank TREATS General Terms and Conditions apply (PDF),0,0,0,0,Shopping,Not available,0,0
219_1,219,BUDGET SINGAPORE,BUDGET SINGAPORE,Up to 10% off on car rentals,Up to 10% off on car rentals,0,Addr: Not available; Postal: Not available; Coord: Not available,[],http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://info.maybank2u.com.sg/images/personal/cards/gss2015/budget.jpg,0,0,2015-12-31 T23:59:59,MayBank_1,219_MayBank_1,BUDGET SINGAPORE,0,0,All,"Terms and Conditions   Minimum rental of 4 days is required  Valid till 31 December 2015  Not valid in conjunction with other offers, coupons or promotions  Not valid for package tours, travel industry or government rates  Advance booking required (24 hours minimum prior to rental date)  Please quote BCD D571500 upon reservation  Valid on all car groups  Valid for car rentals taken in Budget Singapore locations: Singapore Changi Airport Terminal 1, Terminal 2 and Terminal 3   Maybank TREATS General Terms and Conditions apply (PDF)",0,0,0,0,Shopping,Not available,0,0
219_1,219,EXPEDIA,EXPEDIA,10% off on hotel bookings,10% off on hotel bookings,0,Addr: Not available; Postal: Not available; Coord: Not available,[],http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://info.maybank2u.com.sg/images/personal/cards/gss2015/expedia.jpg,0,0,Not available,MayBank_1,219_MayBank_1,EXPEDIA,0,0,All,Not available,0,0,0,0,Shopping,Not available,0,0
219_1,219,JOURNEYFUL,JOURNEYFUL,"5% off hotels in Thailand, Indonesia and Hong Kong 2X Journeyful Rewards for Maybank Horizon VISA Cardmembers","5% off hotels in Thailand, Indonesia and Hong Kong 2X Journeyful Rewards for Maybank Horizon VISA Cardmembers",0,Addr: Not available; Postal: Not available; Coord: Not available,[],http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://info.maybank2u.com.sg/images/personal/cards/gss2015/journeyful.jpg,0,0,Not available,MayBank_1,219_MayBank_1,JOURNEYFUL,0,0,All,Not available,0,0,0,0,Shopping,Not available,0,0
219_1,219,PYOTRAVEL.COM,PYOTRAVEL.COM,8% off on Air and Land Packages 6% off on Hotel Bookings,8% off on Air and Land Packages 6% off on Hotel Bookings,0,Addr: Not available; Postal: Not available; Coord: Not available,[],http://www.citiworldprivileges.com/sg/search/?ot_page=&country=SG&city=&offer_type=&offer_sub_type=&keyword=,http://info.maybank2u.com.sg/images/personal/cards/treats2015/travel/PYOTravel.jpg,0,0,2014-08-01 T23:59:59,MayBank_1,219_MayBank_1,PYOTRAVEL.COM,0,0,All,Terms and Conditions   Promotion is valid from 1 August 2014 to 31 July 2015  All air packages are based on promotional airfares and are subject to availability  All reservations are subject to availability   Maybank TREATS General Terms and Conditions apply (PDF),0,0,0,0,Shopping,Not available,0,0
