1,Belif,https://www.dbs.com.sg/iwov-resources/images/offers/cards/R0014ANRETAILGSS-620x216.jpg,15% off Peat miracle revital serum concentrate with $80 nett spend,Promotion period  21/05/2015 to 31/07/2015,Visit http://www.belifcosmetic.com/ for more information and full outlet listings.,Valid till 31/07/2015,"Belif Valid till 31/07/2015 15% off Peat miracle revital serum concentrate with $80 nett spend Promotion period 21/05/2015 to 31/07/2015 Visit http://www.belifcosmetic.com/ for more information and full outlet listings. Terms and Conditions 1. Limited to purchase up to 5pcs in a single receipt. 2. Not in conjunction with other promotions, offers, discounts and vouchers. 3. Full payment must be charged in a single receipt to a DBS/POSB Credit or Debit Card unless otherwise stated. 4. Merchants’ terms and conditions apply. 5. DBS makes no warranty or representation as to the quality, merchantability or fitness for purpose of the Merchant’s goods and services. 6. For full terms and conditions please visit www.dbs.com.sg/dbscardstnc",,,,
2,Juicy Couture,https://www.dbs.com.sg/iwov-resources/images/offers/cards/R0032ANRETAILGSS-620x216.jpg,Complimentary Juicy Couture tee with nett purchase of S$750,Promotion period  29/05/2015 to 26/07/2015,Visit http://www.juicycouture.com/ for more information and full outlet listings.,Valid till 26/07/2015,"Juicy Couture Valid till 26/07/2015 Complimentary Juicy Couture tee with nett purchase of S$750 Promotion period 29/05/2015 to 26/07/2015 Visit http://www.juicycouture.com/ for more information and full outlet listings. Terms and Conditions 1. Valid while stocks last 2. Logo tee is non-exchangeable 3. Full payment must be charged in a single receipt to a DBS/POSB Credit or Debit Card unless otherwise stated. 4. Merchants’ terms and conditions apply. 5. DBS makes no warranty or representation as to the quality, merchantability or fitness for purpose of the Merchant’s goods and services. 6. For full terms and conditions please visit www.dbs.com.sg/dbscardstnc",,,,
3,FOX,https://www.dbs.com.sg/iwov-resources/images/offers/cards/R0029ANRETAILGSS-620x216.jpg,Up to 50% off Additional 10% off with min. 3 pcs purchased,Promotion period  21/05/2015 to 07/06/2015,Visit https://www.foxfashion.sg/ for more information and full outlet listings.,Valid till 07/06/2015,"FOX Valid till 07/06/2015 Up to 50% off Additional 10% off with min. 3 pcs purchased Promotion period 21/05/2015 to 07/06/2015 Visit https://www.foxfashion.sg/ for more information and full outlet listings. Terms and Conditions 1. Available at all FOX Kids & Baby stores except Changi City Point. 2. Full payment must be charged in a single receipt to a DBS/POSB Credit or Debit Card unless otherwise stated. 3. Merchants’ terms and conditions apply. 4. DBS makes no warranty or representation as to the quality, merchantability or fitness for purpose of the Merchant’s goods and services. 5. For full terms and conditions please visit www.dbs.com.sg/dbscardstnc",,,,
4,Tott,https://www.dbs.com.sg/iwov-resources/images/offers/cards/R0061ANRETAILGSS-620x216.jpg,15% off regular-priced items,Promotion period  29/05/2015 to 26/07/2015,Visit https://www.tottstore.com/ for more information and full outlet listings.,Valid till 26/07/2015,"Tott Valid till 26/07/2015 15% off regular-priced items Promotion period 29/05/2015 to 26/07/2015 Visit https://www.tottstore.com/ for more information and full outlet listings. Terms and Conditions 1. Full payment must be charged in a single receipt to a DBS/POSB Credit or Debit Card unless otherwise stated. 2. Merchants’ terms and conditions apply. 3. DBS makes no warranty or representation as to the quality, merchantability or fitness for purpose of the Merchant’s goods and services. 4. For full terms and conditions please visit www.dbs.com.sg/dbscardstn",,,,
5,Pumpkin Patch,https://www.dbs.com.sg/iwov-resources/images/offers/cards/R0030ANRETAILGSS-620x216.jpg,Up to 50% off Additional 10% off with min. 3 pcs purchased,Promotion period  21/05/2015 to 07/06/2015,Visit http://www.facebook.com/PumpkinPatchSG for more information and full outlet listings.,Valid till 07/06/2015,"Pumpkin Patch Valid till 07/06/2015 Up to 50% off Additional 10% off with min. 3 pcs purchased Promotion period 21/05/2015 to 07/06/2015 Visit http://www.facebook.com/PumpkinPatchSG for more information and full outlet listings. Terms and Conditions 1. Full payment must be charged in a single receipt to a DBS/POSB Credit or Debit Card unless otherwise stated. 2. Merchants’ terms and conditions apply. 3. DBS makes no warranty or representation as to the quality, merchantability or fitness for purpose of the Merchant’s goods and services. 4. For full terms and conditions please visit www.dbs.com.sg/dbscardstnc",,,,
6,Precious Thots,https://www.dbs.com.sg/iwov-resources/images/offers/cards/R0005ANRETAILGSS-620x216.jpg,Ashlyn Anne™ Food Warmer at $19.90 (U.P. $34.90).,Promotion period  29/05/2015 to 26/07/2015,Visit http://www.preciousthots.com/ for more information and full outlet listings.,Valid till 26/07/2015,"Precious Thots Valid till 26/07/2015 Ashlyn Anne™ Food Warmer at $19.90 (U.P. $34.90). Promotion period 29/05/2015 to 26/07/2015 Visit http://www.preciousthots.com/ for more information and full outlet listings. Terms and Conditions 1. Not valid with other promotions, offers, privilege cards or discount vouchers. Precious 2.Thots Members enjoy their usual 10% discount. 3. Full payment must be charged in a single receipt to a DBS/POSB Credit or Debit Card unless otherwise stated. 4. Merchants’ terms and conditions apply. 5. DBS makes no warranty or representation as to the quality, merchantability or fitness for purpose of the Merchant’s goods and services. 6. For full terms and conditions please visit www.dbs.com.sg/dbscardstnc",,,,
7,Sccube the Apothecary,https://www.dbs.com.sg/iwov-resources/images/offers/cards/R0067ANRETAILGSS-620x216.jpg,A once in a life time luxury skin care sale 20% off all products. Sccube is an on line store offering exclusive science based skin care lines from all over the world.,Promotion period  01/06/2015 to 30/06/2015,Visit http://www.sccube.com/ for more information and full outlet listings.,Valid till 30/06/2015,"Sccube the Apothecary Valid till 30/06/2015 A once in a life time luxury skin care sale 20% off all products. Sccube is an on line store offering exclusive science based skin care lines from all over the world. Promotion period 01/06/2015 to 30/06/2015 Visit http://www.sccube.com/ for more information and full outlet listings. Terms and Conditions 1. Full payment must be charged in a single receipt to a DBS/POSB Credit or Debit Card unless otherwise stated. 2. Merchants’ terms and conditions apply. 3. DBS makes no warranty or representation as to the quality, merchantability or fitness for purpose of the Merchant’s goods and services. Other T&Cs apply. 4. For full terms and conditions please visit www.dbs.com.sg/dbscardstn",,,,
8,Bikram Original Hot Yoga,https://www.dbs.com.sg/iwov-resources/images/offers/cards/R0070ANRETAILGSS-620x216.jpg,2 FREE sessions for you and a friend (worth $168). Sign up for select membership and enjoy waiver of joining fee (worth $200).,Promotion period  21/05/2015 to 30/06/2015,Visit http://www.birkamoriginalhotyoga.com for more information and full outlet listings.,Valid till 30/06/2015,"Bikram Original Hot Yoga Valid till 30/06/2015 2 FREE sessions for you and a friend (worth $168). Sign up for select membership and enjoy waiver of joining fee (worth $200). Promotion period 21/05/2015 to 30/06/2015 Visit http://www.birkamoriginalhotyoga.com for more information and full outlet listings. Terms and Conditions 1. Above complimentary access privileges and sign-up offers are applicable for first time visitors and valid till 30 June 2015. 2. Applicable for sign-up of 24-month membership only. 3. The offer above is applicable for one time redemption per unique DBS/POSB card member only. 4. Person must be 18 years old and above. 5. Failure to attend or cancel a class means forfeiting a session. 6. Card member must present their DBS/POSB card in order to enjoy the offer. 7. Redemption can be made at Bikram Original Hot Yoga Pacific Plaza, 9 Scotts Road, Level 5. 8. Offer cannot be used in conjunction with any other promotions, vouchers or rebates. 9. For details of Bikram Original Hot Yoga’s class schedules, please log on to www.bikramoriginalhotyoga.com. Prior booking of appointment is required. Please call Tel: 6735 9555 and quote “DBS GSS” when making appointment. 10. Bikram Original Hot Yoga reserves the right to change, add or delete any terms and conditions at any time. 11. In case of dispute, Bikram Original Hot Yoga reserves the right to make the final decision. 12. Full payment must be charged in a single receipt to a DBS/POSB Credit or Debit Card unless otherwise stated. 13. Merchants’ terms and conditions apply. 14. DBS makes no warranty or representation as to the quality, merchantability or fitness for purpose of the Merchant’s goods and services. Other T&Cs apply. 15. For full T&Cs, please visit www.dbs.com.sg/dbscardstnc",,,,
9,Etched,https://www.dbs.com.sg/iwov-resources/images/offers/cards/R0022ANRETAILGSS-620x216.jpg,Up to 30% off selected items 10% off nett-priced items Additional 5% off sale items,Promotion period  21/05/2015 to 31/07/2015,Visit http://www.myetched.com for more information and full outlet listings.,Valid till 31/07/2015,"Etched Valid till 31/07/2015 Up to 30% off selected items 10% off nett-priced items Additional 5% off sale items Promotion period 21/05/2015 to 31/07/2015 Visit http://www.myetched.com for more information and full outlet listings. Terms and Conditions 1. Full payment must be charged in a single receipt to a DBS/POSB Credit or Debit Card unless otherwise stated. 2. Merchants’ terms and conditions apply. 3. DBS makes no warranty or representation as to the quality, merchantability or fitness for purpose of the Merchant’s goods and services. 4. For full terms and conditions please visit www.dbs.com.sg/dbscardstnc",,,,
10,Make Up Store,https://www.dbs.com.sg/iwov-resources/images/offers/cards/R0002ANRETAILGSS-620x216.jpg,• 20% OFF* every 2nd item • $20 OFF any regular priced with min $120 nett purchase,Promotion period  21/05/2015 to 31/07/2015,Visit http://www.makeupstore.se for more information and full outlet listings.,Valid till 31/07/2015,"Make Up Store Valid till 31/07/2015 • 20% OFF* every 2nd item • $20 OFF any regular priced with min $120 nett purchase Promotion period 21/05/2015 to 31/07/2015 Visit http://www.makeupstore.se for more information and full outlet listings. Terms and Conditions *Valid for item of lower price value. Not valid with other discount or promotion. 1. Full payment must be charged in a single receipt to a DBS/POSB Credit or Debit Card unless otherwise stated. 2. Merchants’ terms and conditions apply. 3. DBS makes no warranty or representation as to the quality, merchantability or fitness for purpose of the Merchant’s goods and services. 4. For full terms and conditions please visit www.dbs.com.sg/dbscardstnc",,,,
