Deal_Id,ProviderDeal_ID,Full_Title,Short_Title,Full_Desc,Short_Desc,all_details,Outlets,PostalCodes,DealSite_URL,DealImage_URL,HighlightImage_URL,Start_Date,End_Date,Merchant_ID,ProviderMerchant_ID,Merchant_Name,Merchant_Image_URL,MerchantWebsite_URL,Card_ID,Terms_and_Conditions,CardImages_URL,isFeatured,homeFeatured,isOnlineMerchant,category,subCategory,keywords,bookmark
208_602,208, BeautyFresh, BeautyFresh,Up to 35% off selected SK-II Set or CHANEL Set,Up to 35% off selected SK-II Set or CHANEL Set,"&bull;&nbsp;Valid till 31 July 2015 
&bull;&nbsp;Please enter promo code ""ANZBFGSS"" at point of check out 
&bull;&nbsp;Complimentary delivery to addresses in Singapore 
&bull;&nbsp;ANZ General Terms and Conditions apply.",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/602.jpg,0,2015-06-25,2015-07-31 T23:59:59,208_1,0, BeautyFresh,0,www.beautyfresh.com,All,"• Valid till 31 July 2015 
• Please enter promo code ""ANZBFGSS"" at point of check out 
• Complimentary delivery to addresses in Singapore 
• ANZ General Terms and Conditions apply.",0,0,0,Yes,Online,None,0,0
208_468,208, COCOMI, COCOMI,15% off all watches,15% off all watches,"&bull;&nbsp;Offer is valid till 31 July 2015 for regular-priced watches 
&bull;&nbsp;Offers are not valid for sale items and Pebble watches unless stated otherwise 
&bull;&nbsp;Newsletter Signup offer, Online Vouchers or Coupon Codes cannot be used in conjunction with any other offer unless stated otherwise and are not redeemable for cash 
&bull;&nbsp;Please enter promo code ""ANZ15OFF"" on check out to enjoy the offer 
&bull;&nbsp;ANZ General Terms and Conditions apply.",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/468.jpg,0,2015-06-25,2015-07-31 T23:59:59,208_2,0, COCOMI,0,cocomi.com/ANZ,All,"• Offer is valid till 31 July 2015 for regular-priced watches 
• Offers are not valid for sale items and Pebble watches unless stated otherwise 
• Newsletter Signup offer, Online Vouchers or Coupon Codes cannot be used in conjunction with any other offer unless stated otherwise and are not redeemable for cash 
• Please enter promo code ""ANZ15OFF"" on check out to enjoy the offer 
• ANZ General Terms and Conditions apply.",0,0,0,Yes,Online,None,0,0
208_384,208, Roses Only, Roses Only,10% off purchases,10% off purchases,"&bull;&nbsp;Valid till 31 July 2015 
&bull;&nbsp;Please quote ""ANZroses"" at check out for online orders and for purchases via phone or fax 
&bull;&nbsp;ANZ General Terms and Conditions apply",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/384.jpg,0,2015-06-25,2015-07-31 T23:59:59,208_3,0, Roses Only,0,www.rosesonly.com.sg,All,"• Valid till 31 July 2015 
• Please quote ""ANZroses"" at check out for online orders and for purchases via phone or fax 
• ANZ General Terms and Conditions apply",0,0,0,Yes,Online,None,0,0
208_99,208,Agoda.com,Agoda.com,Additional 7% off pre-paid bookings,Additional 7% off<br />pre-paid bookings,"&bull;&nbsp;Not valid with ANZ Debit Cards &bull;&nbsp;Valid till 31 December 2015 &bull;&nbsp;The Promotion discount is applicable to hotel room charges only (excluding local taxes, service fees and additional charges) &bull;&nbsp;The Promotion is applicable to booking merchant hotels at participating destinations and designated hotels (pre-paid only) made through the dedicated landing pages specified &bull;&nbsp;Discount will be displayed on the booking form as ""ANZ discount"" upon entering a valid ANZ Credit Card number &bull;&nbsp;The Promotion cannot be exchanged for cash or other products &bull;&nbsp;The Promotion is non-transferable and non-cumulative and cannot be used in conjunction with any other discount, promotions, discounted items and fixed price items (unless specified) &bull;&nbsp;ANZ General Terms and Conditions apply",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/99.jpg,0,2015-06-25,2015-12-31 T23:59:59,208_4,0,Agoda.com,0,agoda.com/anzsg.  4 simple steps to book your hotel stay ,All,"• Not valid with ANZ Debit Cards • Valid till 31 December 2015 • The Promotion discount is applicable to hotel room charges only (excluding local taxes, service fees and additional charges) • The Promotion is applicable to booking merchant hotels at participating destinations and designated hotels (pre-paid only) made through the dedicated landing pages specified • Discount will be displayed on the booking form as ""ANZ discount"" upon entering a valid ANZ Credit Card number • The Promotion cannot be exchanged for cash or other products • The Promotion is non-transferable and non-cumulative and cannot be used in conjunction with any other discount, promotions, discounted items and fixed price items (unless specified) • ANZ General Terms and Conditions apply",0,0,0,Yes,Online,None,0,0
208_442,208,Ban Leong eStore,Ban Leong eStore,15% off purchases,15% off purchases,"&bull;&nbsp;Valid till 17 February 2016. 
&bull;&nbsp;*Offer is valid for all products except, Samsung, Dell, OCZ and ASUS products 
&bull;&nbsp;Please enter promo code ""ANZ15 + the first 6-digit of your ANZ Credit Card number"" eg. ""ANZ15123456"" at payment page 
&bull;&nbsp;ANZ General Terms and Conditions apply.",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/442.jpg,0,2015-06-25,2016-02-17 T23:59:59,208_5,0,Ban Leong eStore,0,banleong.com/sg/estore,All,"• Valid till 17 February 2016. 
• *Offer is valid for all products except, Samsung, Dell, OCZ and ASUS products 
• Please enter promo code ""ANZ15 + the first 6-digit of your ANZ Credit Card number"" eg. ""ANZ15123456"" at payment page 
• ANZ General Terms and Conditions apply.",0,0,0,Yes,Online,None,0,0
208_702,208,BRAND'S®,BRAND'S®,S$10 off with min. spend of S$120 on regular priced items,S$10 off with min. spend of S$120 on regular priced items,"&bull;&nbsp;Valid till 31 August 2015 
&bull;&nbsp;Only valid for purchase via BRAND'S<sup>&reg;</sup> Ecommerce 
&bull;&nbsp;Delivery charge applies for orders falling below S$120 
&bull;&nbsp;Not applicable on promotional items or use with other vouchers 
&bull;&nbsp;ANZ General Terms and Conditions apply.",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/702.jpg,0,2015-06-25,2015-08-31 T23:59:59,208_6,0,BRAND'S®,0,store.brandsworld.com.sg,All,"• Valid till 31 August 2015 
• Only valid for purchase via BRAND'S® Ecommerce 
• Delivery charge applies for orders falling below S$120 
• Not applicable on promotional items or use with other vouchers 
• ANZ General Terms and Conditions apply.",0,0,0,Yes,Online,None,0,0
208_424,208,Expedia.com.sg,Expedia.com.sg,Additional 10% off on hotel bookings,Additional 10% off on hotel bookings,"&bull;&nbsp;Valid for payment with ANZ MasterCard Cards only 
&bull;&nbsp;Valid for booking till 16 September 2015 and for travel before 31 March 2016 
&bull;&nbsp;Other terms and conditions apply 
&bull;&nbsp;ANZ General Terms and Conditions apply.",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/424.jpg,0,2015-06-25,2015-09-16 T23:59:59,208_7,0,Expedia.com.sg,0,www.expedia.com.sg/mastercard,All,"• Valid for payment with ANZ MasterCard Cards only 
• Valid for booking till 16 September 2015 and for travel before 31 March 2016 
• Other terms and conditions apply 
• ANZ General Terms and Conditions apply.",0,0,0,Yes,Online,None,0,0
208_381,208,Foxysales,Foxysales,"Up to 80% off products for moms, babies and kids","Up to 80% off products for moms, babies and kids","&bull;&nbsp;Valid till 31 July 2015 
&bull;&nbsp;Please enter promo code ""ANZ-FREEDELIVERY"" during check-out 
&bull;&nbsp;ANZ General Terms and Conditions apply",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/381.jpg,0,2015-06-25,2015-07-31 T23:59:59,208_8,0,Foxysales,0,www.foxysales.com,All,"• Valid till 31 July 2015 
• Please enter promo code ""ANZ-FREEDELIVERY"" during check-out 
• ANZ General Terms and Conditions apply",0,0,0,Yes,Online,None,0,0
208_356,208,HoneySpree,HoneySpree,15% off regular-priced items,15% off regular-priced items,"&bull;&nbsp;Valid till 16 February 2016 
&bull;&nbsp;Please enter promo code ""ANZ+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ123456"" at the check-out page 
&bull;&nbsp;ANZ General Terms and Conditions apply",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/356.jpg,0,2015-06-25,2016-02-16 T23:59:59,208_9,0,HoneySpree,0,www.honeyspree.com,All,"• Valid till 16 February 2016 
• Please enter promo code ""ANZ+the first 6 digits of your ANZ Credit Card number"" eg. ""ANZ123456"" at the check-out page 
• ANZ General Terms and Conditions apply",0,0,0,Yes,Online,None,0,0
208_453,208,Journeyful.com,Journeyful.com,Bintan Lagoon Resort Getaway fr. S$109 and S$40 off 5D4N Vietnam Tour,Bintan Lagoon Resort Getaway fr. S$109 and S$40 off 5D4N Vietnam Tour,"&bull;&nbsp;Valid till 31 October 2015 
&bull;&nbsp;Terms & conditions apply for all packages listed 
&bull;&nbsp;Tour fares will vary according to different travel date, accommodations and travel arrangements 
&bull;&nbsp;ANZ General Terms and Conditions apply.",None,Not available; ,https://sg.anz.com/ANZPrivileges/offer-category.jsp,https://sg.anz.com/ANZPrivileges/merchant-offers/thumb/453.jpg,0,2015-06-25,2015-10-31 T23:59:59,208_10,0,Journeyful.com,0,Journeyful.com/anz,All,"• Valid till 31 October 2015 
• Terms &amp; conditions apply for all packages listed 
• Tour fares will vary according to different travel date, accommodations and travel arrangements 
• ANZ General Terms and Conditions apply.",0,0,0,Yes,Online,None,0,0
